,Unnamed: 0.1,Unnamed: 0,Respondent_ID,Age,Gender,City_ID,City,Tier,Current_brands
0,0,0,120031,15-18,Female,CT117,Ahmedabad,Tier 2,Blue Bull
1,1,1,120032,19-30,Male,CT118,Pune,Tier 2,Bepsi
2,2,2,120033,15-18,Male,CT116,Hyderabad,Tier 1,Bepsi
3,3,3,120034,31-45,Female,CT113,Bangalore,Tier 1,Bepsi
4,4,4,120035,19-30,Female,CT120,Lucknow,Tier 2,Sky 9
5,5,5,120036,19-30,Female,CT118,Pune,Tier 2,Cola-Coka
6,6,6,120037,19-30,Male,CT112,Mumbai,Tier 1,Cola-Coka
7,7,7,120038,19-30,Male,CT116,Hyderabad,Tier 1,Gangster
8,8,8,120039,46-65,Male,CT116,Hyderabad,Tier 1,Gangster
9,9,9,120040,19-30,Female,CT116,Hyderabad,Tier 1,Sky 9
10,10,10,120041,19-30,Female,CT113,Bangalore,Tier 1,CodeX
11,11,11,120042,19-30,Female,CT112,Mumbai,Tier 1,Others
12,12,12,120043,19-30,Male,CT113,Bangalore,Tier 1,Gangster
13,13,13,120044,19-30,Male,CT112,Mumbai,Tier 1,Others
14,14,14,120045,65+,Male,CT113,Bangalore,Tier 1,Bepsi
15,15,15,120046,19-30,Male,CT114,Chennai,Tier 1,Bepsi
16,16,16,120047,19-30,Male,CT112,Mumbai,Tier 1,CodeX
17,17,17,120048,19-30,Male,CT116,Hyderabad,Tier 1,Sky 9
18,18,18,120049,19-30,Female,CT113,Bangalore,Tier 1,Bepsi
19,19,19,120050,31-45,Female,CT114,Chennai,Tier 1,Others
20,20,20,120051,19-30,Male,CT118,Pune,Tier 2,Gangster
21,21,21,120052,31-45,Non-binary,CT112,Mumbai,Tier 1,Gangster
22,22,22,120053,19-30,Male,CT112,Mumbai,Tier 1,Cola-Coka
23,23,23,120054,19-30,Male,CT114,Chennai,Tier 1,Bepsi
24,24,24,120055,31-45,Non-binary,CT117,Ahmedabad,Tier 2,Cola-Coka
25,25,25,120056,19-30,Male,CT118,Pune,Tier 2,Cola-Coka
26,26,26,120057,19-30,Male,CT117,Ahmedabad,Tier 2,Gangster
27,27,27,120058,19-30,Female,CT119,Jaipur,Tier 2,Sky 9
28,28,28,120059,19-30,Male,CT113,Bangalore,Tier 1,Others
29,29,29,120060,19-30,Male,CT118,Pune,Tier 2,Gangster
30,30,30,120061,19-30,Male,CT116,Hyderabad,Tier 1,Gangster
31,31,31,120062,19-30,Male,CT116,Hyderabad,Tier 1,Cola-Coka
32,32,32,120063,19-30,Male,CT114,Chennai,Tier 1,CodeX
33,33,33,120064,15-18,Male,CT118,Pune,Tier 2,Gangster
34,34,34,120065,19-30,Male,CT115,Kolkata,Tier 2,CodeX
35,35,35,120066,19-30,Female,CT116,Hyderabad,Tier 1,CodeX
36,36,36,120067,65+,Male,CT118,Pune,Tier 2,Cola-Coka
37,37,37,120068,15-18,Female,CT116,Hyderabad,Tier 1,Blue Bull
38,38,38,120069,19-30,Female,CT112,Mumbai,Tier 1,Bepsi
39,39,39,120070,31-45,Male,CT116,Hyderabad,Tier 1,CodeX
40,40,40,120071,15-18,Female,CT113,Bangalore,Tier 1,Bepsi
41,41,41,120072,46-65,Non-binary,CT118,Pune,Tier 2,Sky 9
42,42,42,120073,19-30,Female,CT116,Hyderabad,Tier 1,Blue Bull
43,43,43,120074,19-30,Female,CT112,Mumbai,Tier 1,Cola-Coka
44,44,44,120075,31-45,Male,CT113,Bangalore,Tier 1,Bepsi
45,45,45,120076,19-30,Male,CT113,Bangalore,Tier 1,Gangster
46,46,46,120077,19-30,Male,CT116,Hyderabad,Tier 1,Cola-Coka
47,47,47,120078,19-30,Female,CT117,Ahmedabad,Tier 2,Others
48,48,48,120079,31-45,Female,CT113,Bangalore,Tier 1,Bepsi
49,49,49,120080,19-30,Male,CT113,Bangalore,Tier 1,Bepsi
50,50,50,120081,19-30,Female,CT120,Lucknow,Tier 2,Sky 9
51,51,51,120082,31-45,Female,CT113,Bangalore,Tier 1,Bepsi
52,52,52,120083,31-45,Female,CT113,Bangalore,Tier 1,Cola-Coka
