,Unnamed: 0.1,Unnamed: 0,Respondent_ID,Gender,Age,Current_brands,Marketing_channels,Consume_frequency
0,0,0,120031,Female,15-18,Blue Bull,TV commercials,2-3 times a week
1,1,1,120032,Male,19-30,Bepsi,Print media,2-3 times a month
2,2,2,120033,Male,15-18,Bepsi,Online ads,Rarely
3,3,3,120034,Female,31-45,Bepsi,Online ads,2-3 times a week
4,4,4,120035,Female,19-30,Sky 9,Online ads,Daily
5,5,5,120036,Female,19-30,Cola-Coka,TV commercials,Rarely
6,6,6,120037,Male,19-30,Cola-Coka,Online ads,2-3 times a month
7,7,7,120038,Male,19-30,Gangster,Online ads,Rarely
8,8,8,120039,Male,46-65,Gangster,Other,Once a week
9,9,9,120040,Female,19-30,Sky 9,Other,Once a week
10,10,10,120041,Female,19-30,CodeX,Online ads,2-3 times a week
11,11,11,120042,Female,19-30,Others,Online ads,Rarely
12,12,12,120043,Male,19-30,Gangster,Online ads,2-3 times a week
13,13,13,120044,Male,19-30,Others,Other,2-3 times a week
14,14,14,120045,Male,65+,Bepsi,Outdoor billboards,2-3 times a week
15,15,15,120046,Male,19-30,Bepsi,Online ads,Daily
16,16,16,120047,Male,19-30,CodeX,Print media,Rarely
17,17,17,120048,Male,19-30,Sky 9,Online ads,Once a week
18,18,18,120049,Female,19-30,Bepsi,Online ads,Daily
19,19,19,120050,Female,31-45,Others,Online ads,Daily
20,20,20,120051,Male,19-30,Gangster,Online ads,2-3 times a week
21,21,21,120052,Non-binary,31-45,Gangster,Online ads,Rarely
22,22,22,120053,Male,19-30,Cola-Coka,TV commercials,2-3 times a month
23,23,23,120054,Male,19-30,Bepsi,Online ads,Daily
24,24,24,120055,Non-binary,31-45,Cola-Coka,Outdoor billboards,Once a week
25,25,25,120056,Male,19-30,Cola-Coka,Outdoor billboards,Rarely
26,26,26,120057,Male,19-30,Gangster,TV commercials,Daily
27,27,27,120058,Female,19-30,Sky 9,TV commercials,Once a week
28,28,28,120059,Male,19-30,Others,Online ads,Daily
29,29,29,120060,Male,19-30,Gangster,Print media,2-3 times a week
30,30,30,120061,Male,19-30,Gangster,TV commercials,Once a week
31,31,31,120062,Male,19-30,Cola-Coka,Outdoor billboards,Once a week
32,32,32,120063,Male,19-30,CodeX,TV commercials,Daily
33,33,33,120064,Male,15-18,Gangster,Online ads,2-3 times a week
34,34,34,120065,Male,19-30,CodeX,Online ads,2-3 times a week
35,35,35,120066,Female,19-30,CodeX,Other,2-3 times a month
36,36,36,120067,Male,65+,Cola-Coka,Other,Rarely
37,37,37,120068,Female,15-18,Blue Bull,Online ads,Rarely
38,38,38,120069,Female,19-30,Bepsi,Outdoor billboards,2-3 times a week
39,39,39,120070,Male,31-45,CodeX,Outdoor billboards,Rarely
40,40,40,120071,Female,15-18,Bepsi,Online ads,2-3 times a week
41,41,41,120072,Non-binary,46-65,Sky 9,Other,Daily
42,42,42,120073,Female,19-30,Blue Bull,Online ads,Rarely
43,43,43,120074,Female,19-30,Cola-Coka,Outdoor billboards,2-3 times a month
44,44,44,120075,Male,31-45,Bepsi,Outdoor billboards,2-3 times a month
45,45,45,120076,Male,19-30,Gangster,Outdoor billboards,2-3 times a week
46,46,46,120077,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
47,47,47,120078,Female,19-30,Others,TV commercials,Rarely
48,48,48,120079,Female,31-45,Bepsi,Other,2-3 times a week
49,49,49,120080,Male,19-30,Bepsi,Online ads,2-3 times a week
50,50,50,120081,Female,19-30,Sky 9,Online ads,Rarely
51,51,51,120082,Female,31-45,Bepsi,Online ads,Once a week
52,52,52,120083,Female,31-45,Cola-Coka,Print media,2-3 times a week
53,53,53,120084,Male,15-18,Bepsi,Outdoor billboards,2-3 times a week
54,54,54,120085,Male,19-30,Sky 9,Print media,2-3 times a week
55,55,55,120086,Male,31-45,Cola-Coka,Online ads,Once a week
56,56,56,120087,Female,15-18,Bepsi,TV commercials,2-3 times a month
57,57,57,120088,Male,31-45,Cola-Coka,Print media,Rarely
58,58,58,120089,Male,15-18,Bepsi,TV commercials,Rarely
59,59,59,120090,Male,19-30,Cola-Coka,TV commercials,2-3 times a week
60,60,60,120091,Female,31-45,Blue Bull,Print media,Daily
61,61,61,120092,Male,19-30,Bepsi,Other,Rarely
62,62,62,120093,Female,31-45,Bepsi,Online ads,2-3 times a week
63,63,63,120094,Non-binary,31-45,Blue Bull,TV commercials,2-3 times a month
64,64,64,120095,Male,19-30,Cola-Coka,Online ads,2-3 times a week
65,65,65,120096,Male,19-30,Cola-Coka,Online ads,2-3 times a week
66,66,66,120097,Female,15-18,Gangster,Online ads,Daily
67,67,67,120098,Male,19-30,Blue Bull,TV commercials,Daily
68,68,68,120099,Non-binary,15-18,Blue Bull,Other,2-3 times a week
69,69,69,120100,Male,19-30,Gangster,Online ads,Daily
70,70,70,120101,Male,31-45,CodeX,Other,2-3 times a month
71,71,71,120102,Male,19-30,Blue Bull,Online ads,Rarely
72,72,72,120103,Female,19-30,Gangster,Online ads,2-3 times a week
73,73,73,120104,Male,19-30,Blue Bull,Other,Once a week
74,74,74,120105,Male,19-30,Cola-Coka,Online ads,Once a week
75,75,75,120106,Female,31-45,CodeX,Online ads,2-3 times a week
