,Respondent_ID,Gender,Age,Typical_consumption_situations,Current_brands
0,120031,Female,15-18,Studying/working late,Blue Bull
1,120032,Male,19-30,Sports/exercise,Bepsi
2,120033,Male,15-18,Studying/working late,Bepsi
3,120034,Female,31-45,Sports/exercise,Bepsi
4,120035,Female,19-30,Studying/working late,Sky 9
5,120036,Female,19-30,Social outings/parties,Cola-Coka
6,120037,Male,19-30,Sports/exercise,Cola-Coka
7,120038,Male,19-30,Social outings/parties,Gangster
8,120039,Male,46-65,Sports/exercise,Gangster
9,120040,Female,19-30,Social outings/parties,Sky 9
10,120041,Female,19-30,Sports/exercise,CodeX
11,120042,Female,19-30,Social outings/parties,Others
12,120043,Male,19-30,Studying/working late,Gangster
13,120044,Male,19-30,Sports/exercise,Others
14,120045,Male,65+,Social outings/parties,Bepsi
15,120046,Male,19-30,Studying/working late,Bepsi
16,120047,Male,19-30,Studying/working late,CodeX
17,120048,Male,19-30,Social outings/parties,Sky 9
18,120049,Female,19-30,Social outings/parties,Bepsi
19,120050,Female,31-45,Social outings/parties,Others
20,120051,Male,19-30,Social outings/parties,Gangster
21,120052,Non-binary,31-45,Sports/exercise,Gangster
22,120053,Male,19-30,Sports/exercise,Cola-Coka
23,120054,Male,19-30,Sports/exercise,Bepsi
24,120055,Non-binary,31-45,Studying/working late,Cola-Coka
25,120056,Male,19-30,Studying/working late,Cola-Coka
26,120057,Male,19-30,Sports/exercise,Gangster
27,120058,Female,19-30,Studying/working late,Sky 9
28,120059,Male,19-30,Other,Others
29,120060,Male,19-30,Studying/working late,Gangster
30,120061,Male,19-30,Sports/exercise,Gangster
31,120062,Male,19-30,Driving/commuting,Cola-Coka
32,120063,Male,19-30,Sports/exercise,CodeX
33,120064,Male,15-18,Sports/exercise,Gangster
34,120065,Male,19-30,Social outings/parties,CodeX
35,120066,Female,19-30,Sports/exercise,CodeX
36,120067,Male,65+,Sports/exercise,Cola-Coka
37,120068,Female,15-18,Sports/exercise,Blue Bull
38,120069,Female,19-30,Studying/working late,Bepsi
39,120070,Male,31-45,Sports/exercise,CodeX
40,120071,Female,15-18,Social outings/parties,Bepsi
41,120072,Non-binary,46-65,Studying/working late,Sky 9
42,120073,Female,19-30,Social outings/parties,Blue Bull
43,120074,Female,19-30,Sports/exercise,Cola-Coka
44,120075,Male,31-45,Other,Bepsi
45,120076,Male,19-30,Sports/exercise,Gangster
46,120077,Male,19-30,Studying/working late,Cola-Coka
47,120078,Female,19-30,Sports/exercise,Others
48,120079,Female,31-45,Sports/exercise,Bepsi
49,120080,Male,19-30,Other,Bepsi
50,120081,Female,19-30,Sports/exercise,Sky 9
51,120082,Female,31-45,Studying/working late,Bepsi
52,120083,Female,31-45,Social outings/parties,Cola-Coka
53,120084,Male,15-18,Sports/exercise,Bepsi
54,120085,Male,19-30,Social outings/parties,Sky 9
55,120086,Male,31-45,Sports/exercise,Cola-Coka
56,120087,Female,15-18,Social outings/parties,Bepsi
57,120088,Male,31-45,Other,Cola-Coka
