,Unnamed: 0,Respondent_ID,Gender,Age,Reasons_for_choosing_brands,Current_brands
0,0,120031,Female,15-18,Availability,Blue Bull
1,1,120032,Male,19-30,Availability,Bepsi
2,2,120033,Male,15-18,Availability,Bepsi
3,3,120034,Female,31-45,Other,Bepsi
4,4,120035,Female,19-30,Other,Sky 9
5,5,120036,Female,19-30,Availability,Cola-Coka
6,6,120037,Male,19-30,Brand reputation,Cola-Coka
7,7,120038,Male,19-30,Brand reputation,Gangster
8,8,120039,Male,46-65,Availability,Gangster
9,9,120040,Female,19-30,Effectiveness,Sky 9
10,10,120041,Female,19-30,Other,CodeX
11,11,120042,Female,19-30,Effectiveness,Others
12,12,120043,Male,19-30,Taste/flavor preference,Gangster
13,13,120044,Male,19-30,Brand reputation,Others
14,14,120045,Male,65+,Availability,Bepsi
15,15,120046,Male,19-30,Brand reputation,Bepsi
16,16,120047,Male,19-30,Taste/flavor preference,CodeX
17,17,120048,Male,19-30,Other,Sky 9
18,18,120049,Female,19-30,Other,Bepsi
19,19,120050,Female,31-45,Effectiveness,Others
20,20,120051,Male,19-30,Brand reputation,Gangster
21,21,120052,Non-binary,31-45,Effectiveness,Gangster
22,22,120053,Male,19-30,Brand reputation,Cola-Coka
23,23,120054,Male,19-30,Taste/flavor preference,Bepsi
24,24,120055,Non-binary,31-45,Availability,Cola-Coka
25,25,120056,Male,19-30,Taste/flavor preference,Cola-Coka
26,26,120057,Male,19-30,Taste/flavor preference,Gangster
27,27,120058,Female,19-30,Effectiveness,Sky 9
28,28,120059,Male,19-30,Brand reputation,Others
29,29,120060,Male,19-30,Other,Gangster
30,30,120061,Male,19-30,Taste/flavor preference,Gangster
31,31,120062,Male,19-30,Other,Cola-Coka
32,32,120063,Male,19-30,Brand reputation,CodeX
33,33,120064,Male,15-18,Brand reputation,Gangster
34,34,120065,Male,19-30,Availability,CodeX
35,35,120066,Female,19-30,Taste/flavor preference,CodeX
36,36,120067,Male,65+,Effectiveness,Cola-Coka
37,37,120068,Female,15-18,Other,Blue Bull
38,38,120069,Female,19-30,Availability,Bepsi
39,39,120070,Male,31-45,Brand reputation,CodeX
40,40,120071,Female,15-18,Effectiveness,Bepsi
41,41,120072,Non-binary,46-65,Effectiveness,Sky 9
42,42,120073,Female,19-30,Other,Blue Bull
43,43,120074,Female,19-30,Taste/flavor preference,Cola-Coka
44,44,120075,Male,31-45,Effectiveness,Bepsi
45,45,120076,Male,19-30,Availability,Gangster
46,46,120077,Male,19-30,Brand reputation,Cola-Coka
47,47,120078,Female,19-30,Taste/flavor preference,Others
48,48,120079,Female,31-45,Effectiveness,Bepsi
49,49,120080,Male,19-30,Effectiveness,Bepsi
50,50,120081,Female,19-30,Other,Sky 9
51,51,120082,Female,31-45,Effectiveness,Bepsi
52,52,120083,Female,31-45,Brand reputation,Cola-Coka
53,53,120084,Male,15-18,Taste/flavor preference,Bepsi
54,54,120085,Male,19-30,Availability,Sky 9
55,55,120086,Male,31-45,Availability,Cola-Coka
56,56,120087,Female,15-18,Effectiveness,Bepsi
57,57,120088,Male,31-45,Other,Cola-Coka
58,58,120089,Male,15-18,Brand reputation,Bepsi
59,59,120090,Male,19-30,Brand reputation,Cola-Coka
60,60,120091,Female,31-45,Effectiveness,Blue Bull
61,61,120092,Male,19-30,Availability,Bepsi
62,62,120093,Female,31-45,Other,Bepsi
63,63,120094,Non-binary,31-45,Brand reputation,Blue Bull
64,64,120095,Male,19-30,Availability,Cola-Coka
65,65,120096,Male,19-30,Effectiveness,Cola-Coka
66,66,120097,Female,15-18,Taste/flavor preference,Gangster
